refYear,refMonth,partnerDesc,qty,altQty,netWgt,fobvalue,primaryValue
2023,8,Mexico,4725588,4725588,4725588,9386457.982,9386457.982
2023,8,USA,6328540,6328540,6328540,6809362.495,6809362.495
2023,9,Mexico,6218701,6218701,6218701,11844425.215,11844425.215
2023,9,USA,5322204,5322204,5322204,7163812.728,7163812.728
2023,10,Mexico,10228556,10228556,10228556,19777866.258,19777866.258
2023,10,USA,5010875,5010875,5010875,6713958.407,6713958.407
2023,11,Mexico,11142006,11142006,11142006,23680783.149,23680783.149
2023,11,USA,6720740,6720740,6720740,10735988.463,10735988.463
2023,12,Mexico,11131964,11131964,11131964,26178798.768,26178798.768
2023,12,USA,6219590,6219590,6219590,11803048.578,11803048.578
2024,1,Mexico,14493355,14493355,14493355,38597146.32,38597146.32
2024,1,USA,5580976,5580976,5580976,12324052.072,12324052.072
2024,2,Mexico,18591817,18591817,18591817,36210936.018,36210936.018
2024,2,USA,4701798,4701798,4701798,9567175.921,9567175.921
2024,3,Mexico,19393955,19393955,19393955,37956357.977,37956357.977
2024,3,USA,4684314.376,4684314,4684314.376,9296319.189,9296319.189
2024,4,Mexico,14137731,14137731,14137731,28431743.754,28431743.754
2024,4,USA,5307939,5307939,5307939,10363944.374,10363944.374
2024,5,Mexico,10570970,10570970,10570970,20146594.553,20146594.553
2024,5,USA,6794554.62,6794553,6794554.62,11135311.397,11135311.397
2024,6,Mexico,7904007,7904007,7904007,14088436.676,14088436.676
2024,6,USA,6720273,6720273,6720273,9824296.614,9824296.614
2024,7,Mexico,5569809,5569809,5569809,13464984.861,13464984.861
2024,7,USA,6381608,6381608,6381608,9221502.436,9221502.436
2024,8,Mexico,6026821,6026821,6026821,14325103.651,14325103.651
2024,8,USA,5072660,5072660,5072660,8527981.796,8527981.796
2024,9,Mexico,8531022,8531022,8531022,18752279.713,18752279.713
2024,9,USA,5181799,5181799,5181799,7995023.353,7995023.353
2024,10,Mexico,11050397,11050397,11050397,25477861.631,25477861.631
2024,10,USA,6100121,6100121,6100121,10377149.963,10377149.963
2024,11,Mexico,12763706,12763706,12763706,30768461.832,30768461.832
2024,11,USA,4251690,4251690,4251690,10155237.024,10155237.024
2024,12,Mexico,13600443,13600443,13600443,32231392.694,32231392.694
2024,12,USA,4691826,4691826,4691826,10958103.694,10958103.694
2025,1,Mexico,18802816,18802816,18802816,36648313.662,36648313.662
2025,1,USA,6945435,6945435,6945435,9931292.748,9931292.748
2025,2,Mexico,17386468,17386468,17386468,27371446.064,27371446.064
2025,2,USA,5461864,5461864,5461864,6378254.379,6378254.379
2025,3,Mexico,17964211,17964211,17964211,29933744.447,29933744.447
2025,3,USA,2867441,2867441,2867441,3682462.58,3682462.58
2025,4,Mexico,12894443,12894443,12894443,21324134.612,21324134.612
2025,4,USA,3329304,3329304,3329304,3597974.152,3597974.152
2025,5,Mexico,10239434,10239434,10239434,17328375.662,17328375.662
2025,5,USA,3002193,3002193,3002193,3075677.466,3075677.466
2025,6,Mexico,8400791,8400791,8400791,13627651.468,13627651.468
2025,6,USA,3549372,3549372,3549372,2849645.952,2849645.952
2025,7,Mexico,5497760,5497760,5497760,10096488.552,10096488.552
2025,7,USA,4123262,4123262,4123262,3633481.489,3633481.489
2025,8,Mexico,4162624,4162624,4162624,7333753.939,7333753.939
2025,8,USA,3451778,3451778,3451778,3479606.932,3479606.932
2025,9,Mexico,5210849,5210849,5210849,9227859.077,9227859.077
2025,9,USA,5070068,5070068,5070068,5020778.3,5020778.3
2025,10,Mexico,8733077,8733077,8733077,16183283.284,16183283.284
2025,10,USA,5436053,5436053,5436053,6099140.93,6099140.93
