PERIOD,STATE_ID,STATE,MIN_C,MEAN_C,MAX_C,PRECIPITATION_MM
2016-06-01,23,Quintana Roo,25.4,30.1,34.7,274.0
2016-06-01,24,San Luis Potosí,19.4,26.0,32.5,144.5
2016-06-01,25,Sinaloa,23.6,30.5,37.5,54.0
2016-06-01,26,Sonora,21.2,30.2,39.3,40.9
2016-06-01,27,Tabasco,23.7,28.8,33.9,209.7
2016-06-01,28,Tamaulipas,22.9,28.4,33.9,119.8
2016-06-01,29,Tlaxcala,9.8,16.3,22.7,146.6
2016-06-01,30,Veracruz,19.9,25.6,31.3,206.2
2016-06-01,31,Yucatán,22.4,28.9,35.4,169.7
2016-06-01,32,Zacatecas,13.1,21.2,29.3,72.0
2016-07-01,0,Mexico,18.9,25.6,32.4,125.9
2016-07-01,1,Aguascalientes,12.5,19.9,27.3,172.7
2016-07-01,2,Baja California,20.3,27.5,34.6,26.1
2016-07-01,3,Baja California Sur,22.3,28.9,35.5,23.6
2016-07-01,4,Campeche,23.6,29.5,35.3,180.9
2016-07-01,5,Coahuila,21.8,28.6,35.5,51.2
2016-07-01,6,Colima,22.6,28.7,34.8,252.2
2016-07-01,7,Chiapas,20.9,26.7,32.5,177.8
2016-07-01,8,Chihuahua,16.3,23.9,31.5,110.0
2016-07-01,9,Ciudad de México,11.3,18.0,24.6,131.9
2016-07-01,10,Durango,14.9,22.7,30.6,104.0
2016-07-01,11,Guanajuato,14.1,21.0,27.9,173.0
2016-07-01,12,Guerrero,18.5,25.2,31.9,185.1
2016-07-01,13,Hidalgo,13.9,20.8,27.7,73.5
2016-07-01,14,Jalisco,16.2,23.0,29.8,240.1
2016-07-01,15,Estado de México,10.0,16.5,23.1,171.2
2016-07-01,16,Michoacán,14.1,21.1,28.0,140.5
2016-07-01,17,Morelos,16.5,22.7,29.0,330.5
2016-07-01,18,Nayarit,23.2,28.7,34.2,342.9
2016-07-01,19,Nuevo León,21.7,29.4,37.0,36.4
2016-07-01,20,Oaxaca,19.2,25.2,31.2,164.2
2016-07-01,21,Puebla,12.3,19.4,26.4,174.9
2016-07-01,22,Querétaro,15.5,21.7,28.0,131.1
2016-07-01,23,Quintana Roo,25.2,28.1,31.0,94.2
2016-07-01,24,San Luis Potosí,20.0,26.6,33.1,72.0
2016-07-01,25,Sinaloa,23.9,30.2,36.5,231.2
2016-07-01,26,Sonora,23.0,30.5,38.0,139.1
2016-07-01,27,Tabasco,23.8,29.0,34.3,152.1
2016-07-01,28,Tamaulipas,24.2,30.1,36.0,42.6
2016-07-01,29,Tlaxcala,9.5,16.6,23.7,111.2
2016-07-01,30,Veracruz,19.2,24.8,30.4,214.8
2016-07-01,31,Yucatán,21.8,28.6,35.4,103.9
2016-07-01,32,Zacatecas,13.4,20.6,27.8,119.1
2016-08-01,0,Mexico,19.4,25.6,31.7,172.1
2016-08-01,1,Aguascalientes,13.5,19.8,26.0,193.6
2016-08-01,2,Baja California,20.1,26.5,32.9,31.0
2016-08-01,3,Baja California Sur,23.4,28.8,34.3,54.3
2016-08-01,4,Campeche,23.9,29.3,34.7,173.3
2016-08-01,5,Coahuila,21.4,27.4,33.4,147.7
2016-08-01,6,Colima,22.6,28.5,34.3,340.7
2016-08-01,7,Chiapas,21.2,26.8,32.3,306.7
2016-08-01,8,Chihuahua,16.7,23.0,29.3,190.8
2016-08-01,9,Ciudad de México,11.5,18.1,24.7,128.4
2016-08-01,10,Durango,15.0,21.5,28.0,180.4
2016-08-01,11,Guanajuato,14.4,20.8,27.2,218.3
2016-08-01,12,Guerrero,19.1,25.5,31.9,189.8
2016-08-01,13,Hidalgo,14.8,21.4,28.0,134.2
2016-08-01,14,Jalisco,17.2,23.4,29.6,224.8
2016-08-01,15,Estado de México,10.0,16.8,23.5,200.3
2016-08-01,16,Michoacán,15.1,21.8,28.4,172.7
2016-08-01,17,Morelos,16.6,22.5,28.3,386.2
2016-08-01,18,Nayarit,23.2,28.7,34.3,308.1
2016-08-01,19,Nuevo León,21.2,28.1,34.9,128.0
2016-08-01,20,Oaxaca,19.2,25.0,30.8,212.3
2016-08-01,21,Puebla,12.8,19.6,26.4,218.5
2016-08-01,22,Querétaro,15.4,21.7,27.9,207.0
2016-08-01,23,Quintana Roo,25.6,30.3,34.9,211.6
2016-08-01,24,San Luis Potosí,20.0,26.1,32.2,139.3
2016-08-01,25,Sinaloa,23.8,29.4,35.0,229.7
2016-08-01,26,Sonora,21.8,28.9,36.1,94.8
2016-08-01,27,Tabasco,23.9,28.7,33.4,260.3
2016-08-01,28,Tamaulipas,24.0,29.7,35.5,121.8
2016-08-01,29,Tlaxcala,9.2,16.3,23.3,155.0
2016-08-01,30,Veracruz,19.8,25.2,30.6,267.3
2016-08-01,31,Yucatán,22.3,28.4,34.5,159.0
2016-08-01,32,Zacatecas,14.0,20.1,26.1,145.7
2016-09-01,0,Mexico,18.4,24.8,31.2,128.8
2016-09-01,1,Aguascalientes,12.1,19.1,26.1,62.0
2016-09-01,2,Baja California,17.4,24.0,30.6,26.7
2016-09-01,3,Baja California Sur,22.3,28.1,33.8,79.9
2016-09-01,4,Campeche,23.5,28.9,34.3,202.8
2016-09-01,5,Coahuila,19.5,25.7,31.8,84.2
2016-09-01,6,Colima,22.5,28.3,34.1,314.4
2016-09-01,7,Chiapas,21.1,26.3,31.6,314.7
2016-09-01,8,Chihuahua,15.3,22.4,29.6,85.9
2016-09-01,9,Ciudad de México,11.3,17.7,24.1,113.7
2016-09-01,10,Durango,14.3,21.2,28.1,82.6
2016-09-01,11,Guanajuato,13.5,20.5,27.5,61.5
2016-09-01,12,Guerrero,18.8,25.0,31.3,239.0
2016-09-01,13,Hidalgo,14.7,21.0,27.3,116.6
2016-09-01,14,Jalisco,16.4,23.3,30.2,156.5
2016-09-01,15,Estado de México,9.7,16.2,22.8,140.4
2016-09-01,16,Michoacán,14.4,21.4,28.4,131.9
2016-09-01,17,Morelos,16.3,22.1,27.8,322.8
2016-09-01,18,Nayarit,23.0,28.6,34.1,276.5
2016-09-01,19,Nuevo León,20.3,26.7,33.1,75.7
2016-09-01,20,Oaxaca,18.8,24.6,30.3,203.2
2016-09-01,21,Puebla,12.5,19.1,25.7,200.0
2016-09-01,22,Querétaro,15.1,21.1,27.1,69.3
2016-09-01,23,Quintana Roo,25.6,30.3,35.0,130.5
2016-09-01,24,San Luis Potosí,19.4,25.3,31.3,97.1
2016-09-01,25,Sinaloa,23.3,29.2,35.1,151.1
2016-09-01,26,Sonora,19.6,27.3,35.1,78.1
2016-09-01,27,Tabasco,23.3,28.0,32.6,301.1
2016-09-01,28,Tamaulipas,23.3,28.8,34.3,82.3
2016-09-01,29,Tlaxcala,8.9,15.9,23.0,112.7
